t,x,y,z
5.100000000000000533e+00,-2.463791187020261564e+00,4.500071765932668555e+00,2.561701927955721381e+00
5.200000000000000178e+00,-2.118346488536441363e+00,4.456394411184847471e+00,2.894893651729641526e+00
5.300000000000000711e+00,-1.764759632289307767e+00,4.344007909075075169e+00,3.227254064905320519e+00
5.400000000000000355e+00,-1.410024801602907996e+00,4.165794646150950520e+00,3.514537922611725040e+00
5.500000000000000000e+00,-1.060637992731425117e+00,3.927897934466892504e+00,3.720536465854315189e+00
5.600000000000000533e+00,-7.222619481223357951e-01,3.639312896765438232e+00,3.821671020136331087e+00
5.700000000000000178e+00,-3.997261564164225067e-01,3.311886466477255375e+00,3.806992995458789331e+00
5.800000000000000711e+00,-9.702677437515856707e-02,2.960316460267246708e+00,3.678180390047750326e+00
5.900000000000000355e+00,1.830226383049021188e-01,2.598959083084601662e+00,3.443227095276468308e+00
6.000000000000000000e+00,4.390633357124531511e-01,2.238760782581926900e+00,3.124754144318794502e+00
6.100000000000000533e+00,6.704640252975115899e-01,1.888784507405077751e+00,2.755330629447437563e+00
6.200000000000000178e+00,8.773084698019332217e-01,1.554884586461756424e+00,2.368089705097493614e+00
6.300000000000000711e+00,1.060395487259425895e+00,1.239706728921487588e+00,1.996728587866420712e+00
6.400000000000000355e+00,1.220809240164915543e+00,9.425843994149134542e-01,1.665246033625430222e+00
6.500000000000000000e+00,1.359045794547326658e+00,6.613882293163929615e-01,1.379490263196592181e+00
6.600000000000000533e+00,1.475536353802810341e+00,3.938450737600367457e-01,1.143614954255841809e+00
6.700000000000000178e+00,1.570576169668211675e+00,1.370863761538010372e-01,9.545112578851506768e-01
6.800000000000000711e+00,1.644222696425561958e+00,-1.115896706309939812e-01,8.048072996527946277e-01
6.900000000000000355e+00,1.696161202208553709e+00,-3.532357711821407786e-01,6.899148019287364431e-01
7.000000000000000000e+00,1.726076241363006414e+00,-5.888662943720679444e-01,6.024338017848078763e-01
7.100000000000000533e+00,1.733584585014315449e+00,-8.188608555925557253e-01,5.351985802804888337e-01
7.200000000000000178e+00,1.718201029602971497e+00,-1.042448022137808294e+00,4.848018524245660821e-01
7.300000000000000711e+00,1.679600642280381306e+00,-1.258953947742768475e+00,4.457491222105986473e-01
7.400000000000000355e+00,1.617505683334227173e+00,-1.467030717074914170e+00,4.150087629793017263e-01
7.500000000000000000e+00,1.531752772336209878e+00,-1.664887055170660490e+00,3.913198348478214572e-01
7.600000000000000533e+00,1.422413649071810449e+00,-1.850920746010287443e+00,3.717631260507992530e-01
7.700000000000000178e+00,1.289701887388879253e+00,-2.023090810461659395e+00,3.558028847004269801e-01
7.800000000000000711e+00,1.134051046286218112e+00,-2.179338191682638204e+00,3.430330874880602177e-01
7.900000000000000355e+00,9.561519103005539089e-01,-2.317785813637823988e+00,3.320738714862517815e-01
8.000000000000000000e+00,7.568948880124993783e-01,-2.436371486272126852e+00,3.231137162454554845e-01
8.099999999999999645e+00,5.374184155582988343e-01,-2.533160942453924314e+00,3.161279393656124537e-01
8.200000000000001066e+00,2.991244555611588529e-01,-2.606453897757609273e+00,3.103450379638216239e-01
8.300000000000000711e+00,4.363489771844192289e-02,-2.654551983337863685e+00,3.059141730495700262e-01
